FromStratumID,FromSecondaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToAgeMin,ToStockTypeID,StateAttributeTypeID,FlowTypeID,Multiplier
NA,NA,Forest: Pinyon/Juniper Group,14,Atmosphere,14,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.183
NA,NA,Forest: Pinyon/Juniper Group,14,Atmosphere,14,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0261
NA,NA,Forest: Pinyon/Juniper Group,14,Atmosphere,14,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.447
NA,NA,Forest: Pinyon/Juniper Group,15,Atmosphere,15,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0738
NA,NA,Forest: Pinyon/Juniper Group,15,Atmosphere,15,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2757
NA,NA,Forest: Pinyon/Juniper Group,15,Atmosphere,15,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1793
NA,NA,Forest: Pinyon/Juniper Group,15,Atmosphere,15,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.028
NA,NA,Forest: Pinyon/Juniper Group,15,Atmosphere,15,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4432
NA,NA,Forest: Pinyon/Juniper Group,16,Atmosphere,16,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0731
NA,NA,Forest: Pinyon/Juniper Group,16,Atmosphere,16,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2818
NA,NA,Forest: Pinyon/Juniper Group,16,Atmosphere,16,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1761
NA,NA,Forest: Pinyon/Juniper Group,16,Atmosphere,16,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0298
NA,NA,Forest: Pinyon/Juniper Group,16,Atmosphere,16,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4393
NA,NA,Forest: Pinyon/Juniper Group,17,Atmosphere,17,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0724
NA,NA,Forest: Pinyon/Juniper Group,17,Atmosphere,17,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2875
NA,NA,Forest: Pinyon/Juniper Group,17,Atmosphere,17,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1732
NA,NA,Forest: Pinyon/Juniper Group,17,Atmosphere,17,Biomass: Merchantable,Net Growth,Net Growth: Atmosphere -> Merchantable,0.0317
NA,NA,Forest: Pinyon/Juniper Group,17,Atmosphere,17,Biomass: Other Wood,Net Growth,Net Growth: Atmosphere -> Other Wood,0.4353
NA,NA,Forest: Pinyon/Juniper Group,18,Atmosphere,18,Biomass: Coarse Root,Net Growth,Net Growth: Atmosphere -> Coarse Roots,0.0717
NA,NA,Forest: Pinyon/Juniper Group,18,Atmosphere,18,Biomass: Fine Root,Net Growth,Net Growth: Atmosphere -> Fine Roots,0.2927
NA,NA,Forest: Pinyon/Juniper Group,18,Atmosphere,18,Biomass: Foliage,Net Growth,Net Growth: Atmosphere -> Foliage,0.1706
