FromStockTypeID,ToStockTypeID,TransitionGroupID,FlowTypeID,Multiplier
DOM: Aboveground Very Fast,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,0.005
DOM: Aboveground Very Fast,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.045
DOM: Aboveground Fast,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.2514
DOM: Aboveground Fast,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,0.0028
DOM: Aboveground Fast,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.02515
DOM: Aboveground Medium,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.06275
DOM: Aboveground Medium,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,0.0007
DOM: Aboveground Medium,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.00625
DOM: Aboveground Slow,Atmosphere CO2,Fire: Medium Severity [Type],LULC: Emission,0.2036
DOM: Aboveground Slow,Atmosphere CH4,Fire: Medium Severity [Type],LULC: Emission,0.00225
DOM: Aboveground Slow,Atmosphere CO,Fire: Medium Severity [Type],LULC: Emission,0.02035
DOM: Snag Stem,DOM: Aboveground Medium,Fire: Medium Severity [Type],LULC: Transfer,0.5
DOM: Snag Branch,DOM: Aboveground Fast,Fire: Medium Severity [Type],LULC: Transfer,0.5
Biomass: Merchantable,DOM: Snag Stem,Fire: Low Severity [Type],LULC: Mortality,0.25
Biomass: Foliage,DOM: Aboveground Very Fast,Fire: Low Severity [Type],LULC: Mortality,0.0041
Biomass: Foliage,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.2213
Biomass: Foliage,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.00245
Biomass: Foliage,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.022125
Biomass: Other Wood,DOM: Snag Branch,Fire: Low Severity [Type],LULC: Mortality,0.227
Biomass: Other Wood,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.0207
Biomass: Other Wood,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.000225
Biomass: Other Wood,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.002075
Biomass: Coarse Root,DOM: Aboveground Fast,Fire: Low Severity [Type],LULC: Mortality,0.125
Biomass: Coarse Root,DOM: Belowground Fast,Fire: Low Severity [Type],LULC: Mortality,0.125
Biomass: Fine Root,DOM: Aboveground Very Fast,Fire: Low Severity [Type],LULC: Mortality,0.068275
Biomass: Fine Root,DOM: Belowground Very Fast,Fire: Low Severity [Type],LULC: Mortality,0.125
Biomass: Fine Root,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.05105
Biomass: Fine Root,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.000575
Biomass: Fine Root,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.0051
DOM: Aboveground Very Fast,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.225
DOM: Aboveground Very Fast,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.0025
DOM: Aboveground Very Fast,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.0225
DOM: Aboveground Fast,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.1257
DOM: Aboveground Fast,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.0014
DOM: Aboveground Fast,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.012575
DOM: Aboveground Medium,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.031375
DOM: Aboveground Medium,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.00035
DOM: Aboveground Medium,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.003125
DOM: Aboveground Slow,Atmosphere CO2,Fire: Low Severity [Type],LULC: Emission,0.1018
DOM: Aboveground Slow,Atmosphere CH4,Fire: Low Severity [Type],LULC: Emission,0.001125
DOM: Aboveground Slow,Atmosphere CO,Fire: Low Severity [Type],LULC: Emission,0.010175
DOM: Snag Stem,DOM: Aboveground Medium,Fire: Low Severity [Type],LULC: Transfer,0.25
DOM: Snag Branch,DOM: Aboveground Fast,Fire: Low Severity [Type],LULC: Transfer,0.25
Biomass: Merchantable,Forestry Sector,Urbanization,LULC: Harvest,0.8
Biomass: Merchantable,Atmosphere CO2,Urbanization,LULC: Emission,0.18
Biomass: Merchantable,Atmosphere CH4,Urbanization,LULC: Emission,0.002017167
Biomass: Merchantable,Atmosphere CO,Urbanization,LULC: Emission,0.017982833
Biomass: Foliage,Atmosphere CO2,Urbanization,LULC: Emission,0.9
Biomass: Foliage,Atmosphere CH4,Urbanization,LULC: Emission,0.01
Biomass: Foliage,Atmosphere CO,Urbanization,LULC: Emission,0.09
Biomass: Other Wood,Atmosphere CO2,Urbanization,LULC: Emission,0.9
Biomass: Other Wood,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
Biomass: Other Wood,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
Biomass: Coarse Root,Atmosphere CO2,Urbanization,LULC: Emission,0.9
Biomass: Coarse Root,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
Biomass: Coarse Root,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
Biomass: Fine Root,Atmosphere CO2,Urbanization,LULC: Emission,0.9
Biomass: Fine Root,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
Biomass: Fine Root,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Snag Stem,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Snag Stem,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Snag Stem,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Snag Branch,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Snag Branch,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Snag Branch,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Aboveground Very Fast,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Aboveground Very Fast,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Aboveground Very Fast,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Aboveground Fast,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Aboveground Fast,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Aboveground Fast,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Aboveground Medium,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Aboveground Medium,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Aboveground Medium,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Belowground Very Fast,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Belowground Very Fast,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Belowground Very Fast,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Belowground Fast,Atmosphere CO2,Urbanization,LULC: Emission,0.9
DOM: Belowground Fast,Atmosphere CH4,Urbanization,LULC: Emission,0.010085837
DOM: Belowground Fast,Atmosphere CO,Urbanization,LULC: Emission,0.089914163
DOM: Belowground Slow,Atmosphere CO2,Urbanization,LULC: Emission,0.18
DOM: Belowground Slow,Atmosphere CH4,Urbanization,LULC: Emission,0.002017167
DOM: Belowground Slow,Atmosphere CO,Urbanization,LULC: Emission,0.017982833
