Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2021,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2031,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2041,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2051,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2061,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2071,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2081,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2091,Los Angeles,Ag Contraction: Cropland,556.4263880833333,Iteration and Timestep,302.15014899717943,115.942539,1011.310314
2017,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2021,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2031,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2041,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2051,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2061,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2071,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2081,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2091,Madera,Ag Contraction: Cropland,798.9513355,Iteration and Timestep,317.91244227666175,378.786096,1349.020781
2017,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2021,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2031,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2041,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2051,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2061,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2071,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2081,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2091,Marin,Ag Contraction: Cropland,112.65446524999999,Iteration and Timestep,145.76882268316,0.809372,541.0651819999999
2017,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2021,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2031,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2041,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2051,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2061,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2071,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2081,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2091,Mariposa,Ag Contraction: Cropland,7.975686583333333,Iteration and Timestep,13.07251905182545,0,42.289687
2017,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2021,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2031,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2041,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2051,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2061,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2071,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2081,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
2091,Mendocino,Ag Contraction: Cropland,143.52863466666668,Iteration and Timestep,205.04787761950564,0,520.426196
