Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2031,Kings,Urbanization,1699.04255490625,Normal,Timestep and iteration,1250.900366734804,709.692779625,4378.221955374999
2041,Kings,Urbanization,1192.9447725937496,Normal,Timestep and iteration,878.2917468563516,498.2949303749999,3074.070734624999
2051,Kings,Urbanization,1409.8438221562499,Normal,Timestep and iteration,1037.9811553756883,588.894008625,3632.9926863749997
2061,Kings,Urbanization,795.2965150624999,Normal,Timestep and iteration,585.5278312375679,332.19662025,2049.38048975
2071,Kings,Urbanization,542.2476239062499,Normal,Timestep and iteration,399.22352129834167,226.497695625,1397.304879375
2081,Kings,Urbanization,722.996831875,Normal,Timestep and iteration,532.2980283977889,301.9969275,1863.0731724999998
2091,Kings,Urbanization,542.2476239062499,Normal,Timestep and iteration,399.22352129834167,226.497695625,1397.304879375
2017,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2021,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Lake,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2021,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2031,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2041,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2051,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2061,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2071,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2081,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2091,Lassen,Urbanization,0,Normal,Timestep and iteration,0,0,0
2017,Los Angeles,Urbanization,1172.5657668913611,Normal,Timestep and iteration,726.7279081374656,242.9927552513089,3120.3864911465967
2021,Los Angeles,Urbanization,1408.6268618760905,Normal,Timestep and iteration,873.0328665413778,291.9120888167539,3748.583111476439
2031,Los Angeles,Urbanization,1292.5312413917975,Normal,Timestep and iteration,801.0796083099456,267.8534001780104,3439.633953937172
