SecondaryStratumID,Timestep,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD
Kern,2071,Management: Forest Clearcut [Type],372.220124768531,Normal,Iteration and Timestep,376.97929679595177
Kern,2081,Management: Forest Clearcut [Type],342.8797439907952,Normal,Iteration and Timestep,347.26377262811013
Kern,2091,Management: Forest Clearcut [Type],272.8847179524058,Normal,Iteration and Timestep,276.3737966721481
Kings,2017,Management: Forest Clearcut [Type],21.63373664371453,Normal,Iteration and Timestep,91.78417129904666
Kings,2021,Management: Forest Clearcut [Type],28.860962791171517,Normal,Iteration and Timestep,122.44669500726002
Kings,2031,Management: Forest Clearcut [Type],29.963624160269436,Normal,Iteration and Timestep,127.1248909959095
Kings,2041,Management: Forest Clearcut [Type],32.756233932006545,Normal,Iteration and Timestep,138.97293083672824
Kings,2051,Management: Forest Clearcut [Type],31.138198227351996,Normal,Iteration and Timestep,132.10818672294914
Kings,2061,Management: Forest Clearcut [Type],27.386752482486262,Normal,Iteration and Timestep,116.19215037026127
Kings,2071,Management: Forest Clearcut [Type],23.263757798033186,Normal,Iteration and Timestep,98.69976536922412
Kings,2081,Management: Forest Clearcut [Type],21.4299839994247,Normal,Iteration and Timestep,90.91972204027446
Kings,2091,Management: Forest Clearcut [Type],17.055294872025364,Normal,Iteration and Timestep,72.35948795487168
Lake,2017,Management: Forest Clearcut [Type],356.9566546212898,Normal,Iteration and Timestep,481.5775766284539
Lake,2021,Management: Forest Clearcut [Type],476.20588605433005,Normal,Iteration and Timestep,642.459171479954
Lake,2031,Management: Forest Clearcut [Type],494.3997986444457,Normal,Iteration and Timestep,667.004953779022
Lake,2041,Management: Forest Clearcut [Type],540.477859878108,Normal,Iteration and Timestep,729.1698154712268
Lake,2051,Management: Forest Clearcut [Type],513.780270751308,Normal,Iteration and Timestep,693.1515479671597
Lake,2061,Management: Forest Clearcut [Type],451.8814159610233,Normal,Iteration and Timestep,609.6425277540261
Lake,2071,Management: Forest Clearcut [Type],383.8520036675476,Normal,Iteration and Timestep,517.8626461140326
Lake,2081,Management: Forest Clearcut [Type],353.59473599050756,Normal,Iteration and Timestep,477.0419429427565
Lake,2091,Management: Forest Clearcut [Type],281.4123653884185,Normal,Iteration and Timestep,379.65921969101936
Lassen,2017,Management: Forest Clearcut [Type],4332.155762903835,Normal,Iteration and Timestep,3368.933820878626
Lassen,2021,Management: Forest Clearcut [Type],5779.407798932097,Normal,Iteration and Timestep,4494.4003549450035
Lassen,2031,Management: Forest Clearcut [Type],6000.215738093954,Normal,Iteration and Timestep,4666.113325316657
