Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2021,Napa,Ag Expansion: Cropland,966.0192058333333,Iteration and Timestep,1310.8265488975449,197.9813842222222,5025.210887555556
2031,Napa,Ag Expansion: Cropland,880.7822170833334,Iteration and Timestep,1195.1653828183498,180.51243855555555,4581.809926888889
2041,Napa,Ag Expansion: Cropland,823.9575579166666,Iteration and Timestep,1118.057938765553,168.86647477777774,4286.209286444444
2051,Napa,Ag Expansion: Cropland,483.00960291666667,Iteration and Timestep,655.4132744487724,98.9906921111111,2512.605443777778
2061,Napa,Ag Expansion: Cropland,539.8342620833333,Iteration and Timestep,732.5207185015693,110.63665588888888,2808.206084222222
2071,Napa,Ag Expansion: Cropland,511.4219325,Iteration and Timestep,693.9669964751708,104.81367399999999,2660.405764
2081,Napa,Ag Expansion: Cropland,340.947955,Iteration and Timestep,462.64466431678056,69.87578266666665,1773.6038426666667
2091,Napa,Ag Expansion: Cropland,142.0616479166667,Iteration and Timestep,192.76861013199192,29.114909444444443,739.0016011111112
2017,Nevada,Ag Expansion: Cropland,18.962652069230767,Iteration and Timestep,25.426621634470827,0.0607029,91.9648935
2021,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2031,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2041,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2051,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2061,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2071,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2081,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2091,Nevada,Ag Expansion: Cropland,0,Iteration and Timestep,0,0,0
2017,Orange,Ag Expansion: Cropland,83.15259643589744,Iteration and Timestep,84.14572298683981,16.887858076923077,286.61107707692304
2021,Orange,Ag Expansion: Cropland,61.69386187179486,Iteration and Timestep,62.4306976999134,12.529701153846151,212.6469281538461
2031,Orange,Ag Expansion: Cropland,49.62332367948718,Iteration and Timestep,50.21599597601731,10.078237884615385,171.04209438461538
2041,Orange,Ag Expansion: Cropland,42.91746912820513,Iteration and Timestep,43.43005057385281,8.716313846153847,147.92829784615384
