Timestep,SecondaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
2071,Los Angeles,Ag Expansion,11.380469515706803,Normal,Iteration and Timestep,8.48562256234434,2.855049136125654,27.60233960732984
2081,Los Angeles,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2091,Los Angeles,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2017,Madera,Ag Expansion,816.2427351029412,Normal,Iteration and Timestep,652.1613012711181,116.72810594117647,2432.0438347058825
2021,Madera,Ag Expansion,855.1114367745099,Normal,Iteration and Timestep,683.2166013316474,122.28658717647059,2547.855445882353
2031,Madera,Ag Expansion,1049.454945132353,Normal,Iteration and Timestep,838.4931016342946,150.07899335294118,3126.913501764706
2041,Madera,Ag Expansion,1243.7984534901962,Normal,Iteration and Timestep,993.7696019369419,177.87139952941178,3705.971557647059
2051,Madera,Ag Expansion,1554.7480668627452,Normal,Iteration and Timestep,1242.2120024211772,222.3392494117647,4632.464447058824
2061,Madera,Ag Expansion,1243.7984534901962,Normal,Iteration and Timestep,993.7696019369419,177.87139952941178,3705.971557647059
2071,Madera,Ag Expansion,1399.2732601764706,Normal,Iteration and Timestep,1117.9908021790595,200.10532447058824,4169.218002352941
2081,Madera,Ag Expansion,1243.7984534901962,Normal,Iteration and Timestep,993.7696019369419,177.87139952941178,3705.971557647059
2091,Madera,Ag Expansion,816.2427351029412,Normal,Iteration and Timestep,652.1613012711181,116.72810594117647,2432.0438347058825
2017,Marin,Ag Expansion,27.587870605263163,Normal,Iteration and Timestep,35.157312359764234,0,113.67416747368422
2021,Marin,Ag Expansion,35.25116799561404,Normal,Iteration and Timestep,44.92323245969874,0,145.25032510526316
2031,Marin,Ag Expansion,35.25116799561404,Normal,Iteration and Timestep,44.92323245969874,0,145.25032510526316
2041,Marin,Ag Expansion,38.31648695175439,Normal,Iteration and Timestep,48.829600499672544,0,157.88078815789476
2051,Marin,Ag Expansion,47.51244382017545,Normal,Iteration and Timestep,60.54870461959396,0,195.7721773157895
2061,Marin,Ag Expansion,105.75350398684212,Normal,Iteration and Timestep,134.76969737909621,0,435.7509753157895
2071,Marin,Ag Expansion,70.50233599122808,Normal,Iteration and Timestep,89.84646491939748,0,290.5006502105263
2081,Marin,Ag Expansion,101.15552555263159,Normal,Iteration and Timestep,128.91014531913552,0,416.8052807368421
2091,Marin,Ag Expansion,72.03499546929825,Normal,Iteration and Timestep,91.79964893938438,0,296.81588173684213
2017,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2021,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2031,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2041,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2051,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2061,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2071,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2081,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2091,Mariposa,Ag Expansion,0,Normal,Iteration and Timestep,0,0,0
2017,Mendocino,Ag Expansion,46.86999672727272,Normal,Iteration and Timestep,41.52615598667458,0,102.42234763636363
