SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionTypeID
Glenn,Management: Forest Clearcut,Forest Harvest,2012,2012,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2015,2015,0,Iteration and Timestep,NA,NA
Glenn,Management: Forest Clearcut,Forest Harvest,2016,2016,0,Iteration and Timestep,NA,NA
Humboldt,Management: Forest Clearcut,Forest Harvest,1999,1999,1100,Iteration and Timestep,550,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2000,2000,1100,Iteration and Timestep,550,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2001,2001,1700,Iteration and Timestep,850,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2002,2002,2500,Iteration and Timestep,1250,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2003,2003,1400,Iteration and Timestep,700,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2004,2004,1800,Iteration and Timestep,900,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2005,2005,1600,Iteration and Timestep,800,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2006,2006,2600,Iteration and Timestep,1300,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2007,2007,5100,Iteration and Timestep,2550,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2008,2008,900,Iteration and Timestep,450,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2009,2009,600,Iteration and Timestep,300,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2010,2010,200,Iteration and Timestep,100,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2011,2011,1200,Iteration and Timestep,600,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2012,2012,500,Iteration and Timestep,250,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2013,2013,0,Iteration and Timestep,NA,NA
Humboldt,Management: Forest Clearcut,Forest Harvest,2014,2014,0,Iteration and Timestep,NA,NA
Humboldt,Management: Forest Clearcut,Forest Harvest,2015,2015,200,Iteration and Timestep,100,Normal
Humboldt,Management: Forest Clearcut,Forest Harvest,2016,2016,400,Iteration and Timestep,200,Normal
Imperial,Management: Forest Clearcut,Forest Harvest,1999,1999,0,Iteration and Timestep,NA,NA
Imperial,Management: Forest Clearcut,Forest Harvest,2000,2000,0,Iteration and Timestep,NA,NA
Imperial,Management: Forest Clearcut,Forest Harvest,2001,2001,0,Iteration and Timestep,NA,NA
