StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2008,2008,12500,Iteration and Timestep,6250
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2009,2009,13700,Iteration and Timestep,6850
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2010,2010,10700,Iteration and Timestep,5350
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2011,2011,42000,Iteration and Timestep,21000
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2012,2012,32900,Iteration and Timestep,16450
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2013,2013,18900,Iteration and Timestep,9450
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2014,2014,44800,Iteration and Timestep,22400
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2015,2015,91400,Iteration and Timestep,45700
Klamath Mountains/California High North Coast Range,Insect: Low Severity,Insect,2016,2016,192900,Iteration and Timestep,96450
Northern Basin and Range,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2000,2000,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2002,2002,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2003,2003,100,Iteration and Timestep,50
Northern Basin and Range,Insect: Low Severity,Insect,2004,2004,100,Iteration and Timestep,50
Northern Basin and Range,Insect: Low Severity,Insect,2005,2005,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2006,2006,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2007,2007,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2008,2008,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2009,2009,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2010,2010,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2011,2011,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2012,2012,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2013,2013,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2014,2014,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Low Severity,Insect,2015,2015,900,Iteration and Timestep,450
Northern Basin and Range,Insect: Low Severity,Insect,2016,2016,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2000,2000,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2002,2002,300,Iteration and Timestep,150
Sonoran Basin and Range,Insect: Low Severity,Insect,2003,2003,10800,Iteration and Timestep,5400
Sonoran Basin and Range,Insect: Low Severity,Insect,2004,2004,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2005,2005,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2006,2006,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2007,2007,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2008,2008,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2009,2009,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2010,2010,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2011,2011,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2012,2012,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2013,2013,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2014,2014,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2015,2015,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Low Severity,Insect,2016,2016,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,1998,1998,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,1999,1999,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2000,2000,1500,Iteration and Timestep,750
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2001,2001,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2002,2002,4600,Iteration and Timestep,2300
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2003,2003,300,Iteration and Timestep,150
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2004,2004,1900,Iteration and Timestep,950
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2005,2005,100,Iteration and Timestep,50
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2006,2006,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2007,2007,200,Iteration and Timestep,100
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2008,2008,100,Iteration and Timestep,50
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2009,2009,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2010,2010,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2011,2011,100,Iteration and Timestep,50
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2012,2012,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2013,2013,0,Iteration and Timestep,0
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2014,2014,500,Iteration and Timestep,250
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2015,2015,500,Iteration and Timestep,250
Southern California/Northern Baja Coast,Insect: Low Severity,Insect,2016,2016,1000,Iteration and Timestep,500
