SecondaryStratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionTypeID,ValueDistributionFrequency,ValueDistributionSD,ValueDistributionMin,ValueDistributionMax
Los Angeles,Intensification: Medium to High,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Madera,Intensification: Open to Low,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Madera,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Madera,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Madera,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Madera,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Madera,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Marin,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Marin,Intensification: Open to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Marin,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Marin,Intensification: Low to Medium,Intensification,2001,2016,6.666666666666666,Normal,Iteration and Timestep,11.547005383792515,0,20
Marin,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Marin,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mariposa,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mariposa,Intensification: Open to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mariposa,Intensification: Open to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mariposa,Intensification: Low to Medium,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mariposa,Intensification: Low to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mariposa,Intensification: Medium to High,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
Mendocino,Intensification: Open to Low,Intensification,2001,2016,0,Normal,Iteration and Timestep,0,0,0
