StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Value,ValueDistributionFrequency,ValueDistributionSD
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2010,2010,13200,Iteration and Timestep,6600
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2011,2011,11000,Iteration and Timestep,5500
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2012,2012,7500,Iteration and Timestep,3750
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2013,2013,3800,Iteration and Timestep,1900
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2014,2014,8100,Iteration and Timestep,4050
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2015,2015,34700,Iteration and Timestep,17350
Klamath Mountains/California High North Coast Range,Insect: Medium Severity,Insect,2016,2016,23300,Iteration and Timestep,11650
Northern Basin and Range,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2002,2002,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2003,2003,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2004,2004,200,Iteration and Timestep,100
Northern Basin and Range,Insect: Medium Severity,Insect,2005,2005,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2006,2006,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2008,2008,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2009,2009,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2010,2010,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2011,2011,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2012,2012,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2013,2013,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2014,2014,0,Iteration and Timestep,0
Northern Basin and Range,Insect: Medium Severity,Insect,2015,2015,100,Iteration and Timestep,50
Northern Basin and Range,Insect: Medium Severity,Insect,2016,2016,100,Iteration and Timestep,50
Sonoran Basin and Range,Insect: Medium Severity,Insect,1998,1998,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,1999,1999,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2000,2000,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2001,2001,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2002,2002,1600,Iteration and Timestep,800
Sonoran Basin and Range,Insect: Medium Severity,Insect,2003,2003,3100,Iteration and Timestep,1550
Sonoran Basin and Range,Insect: Medium Severity,Insect,2004,2004,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2005,2005,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2006,2006,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2007,2007,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2008,2008,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2009,2009,0,Iteration and Timestep,0
Sonoran Basin and Range,Insect: Medium Severity,Insect,2010,2010,0,Iteration and Timestep,0
