County,year,scenario,ref_annual_change,annual_change,change_mult
Marin,2070,ssp2,1.9,1,0.5263157894736842
Marin,2080,ssp2,1.9,0.5,0.2631578947368421
Marin,2090,ssp2,1.9,0.5,0.2631578947368421
Marin,2100,ssp2,1.9,0,0
Marin,2010,ssp5,1.9,1.9,1
Marin,2020,ssp5,1.9,1.8,0.9473684210526316
Marin,2030,ssp5,1.9,2.3,1.2105263157894737
Marin,2040,ssp5,1.9,2.3,1.2105263157894737
Marin,2050,ssp5,1.9,2.5,1.3157894736842106
Marin,2060,ssp5,1.9,3.1,1.6315789473684212
Marin,2070,ssp5,1.9,6.9,3.6315789473684212
Marin,2080,ssp5,1.9,4.6,2.4210526315789473
Marin,2090,ssp5,1.9,6.6,3.473684210526316
Marin,2100,ssp5,1.9,4.7,2.473684210526316
Mariposa,2010,ssp2,0.3,0.3,1
Mariposa,2020,ssp2,0.3,0,0
Mariposa,2030,ssp2,0.3,0,0
Mariposa,2040,ssp2,0.3,0,0
Mariposa,2050,ssp2,0.3,0,0
Mariposa,2060,ssp2,0.3,0,0
Mariposa,2070,ssp2,0.3,0,0
Mariposa,2080,ssp2,0.3,0,0
Mariposa,2090,ssp2,0.3,0,0
Mariposa,2100,ssp2,0.3,0,0
Mariposa,2010,ssp5,0.3,0.3,1
Mariposa,2020,ssp5,0.3,0,0
Mariposa,2030,ssp5,0.3,0,0
Mariposa,2040,ssp5,0.3,0,0
Mariposa,2050,ssp5,0.3,0,0
Mariposa,2060,ssp5,0.3,0,0
Mariposa,2070,ssp5,0.3,0,0
Mariposa,2080,ssp5,0.3,0,0
Mariposa,2090,ssp5,0.3,0,0
Mariposa,2100,ssp5,0.3,0,0
Mendocino,2010,ssp2,1.1,1.1,1
Mendocino,2020,ssp2,1.1,0.1,0.09090909090909091
Mendocino,2030,ssp2,1.1,0.1,0.09090909090909091
Mendocino,2040,ssp2,1.1,0,0
Mendocino,2050,ssp2,1.1,0.2,0.18181818181818182
Mendocino,2060,ssp2,1.1,0.4,0.36363636363636365
Mendocino,2070,ssp2,1.1,0.1,0.09090909090909091
Mendocino,2080,ssp2,1.1,0,0
Mendocino,2090,ssp2,1.1,0.1,0.09090909090909091
Mendocino,2100,ssp2,1.1,0,0
Mendocino,2010,ssp5,1.1,1.1,1
Mendocino,2020,ssp5,1.1,0.6,0.5454545454545454
Mendocino,2030,ssp5,1.1,0.9,0.8181818181818181
Mendocino,2040,ssp5,1.1,1.6,1.4545454545454546
Mendocino,2050,ssp5,1.1,1.9,1.727272727272727
Mendocino,2060,ssp5,1.1,1.4,1.2727272727272725
Mendocino,2070,ssp5,1.1,2.7,2.4545454545454546
Mendocino,2080,ssp5,1.1,2.5,2.2727272727272725
Mendocino,2090,ssp5,1.1,2.7,2.4545454545454546
Mendocino,2100,ssp5,1.1,2.1,1.909090909090909
Merced,2010,ssp2,2.6,2.6,1
Merced,2020,ssp2,2.6,4.4,1.6923076923076923
Merced,2030,ssp2,2.6,3.5,1.346153846153846
Merced,2040,ssp2,2.6,2.7,1.0384615384615385
Merced,2050,ssp2,2.6,2.3,0.8846153846153845
Merced,2060,ssp2,2.6,3.8,1.4615384615384615
Merced,2070,ssp2,2.6,2.4,0.923076923076923
Merced,2080,ssp2,2.6,1.6,0.6153846153846154
Merced,2090,ssp2,2.6,1.1,0.4230769230769231
Merced,2100,ssp2,2.6,0.7,0.2692307692307692
Merced,2010,ssp5,2.6,2.6,1
Merced,2020,ssp5,2.6,2.3,0.8846153846153845
Merced,2030,ssp5,2.6,3.2,1.2307692307692308
Merced,2040,ssp5,2.6,3.8,1.4615384615384615
Merced,2050,ssp5,2.6,3.1,1.1923076923076923
Merced,2060,ssp5,2.6,4.9,1.8846153846153846
Merced,2070,ssp5,2.6,3.7,1.4230769230769231
Merced,2080,ssp5,2.6,3.9,1.5
Merced,2090,ssp5,2.6,2.1,0.8076923076923077
Merced,2100,ssp5,2.6,3.2,1.2307692307692308
Modoc,2010,ssp2,0.1,0.1,1
Modoc,2020,ssp2,0.1,0,0
Modoc,2030,ssp2,0.1,0,0
